Question,Logical Formula,Sparql Query
134. Sungkyunkwan University is located at which place?,(and fb:phrase.Sungkyunkwan_University (fb:phrase.prop.location (fb:rdf.type.prop fb:nounphrase.Location))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 rdf:type dbo:location . dbr:Sungkyunkwan_University dbo:location ?x1 . FILTER (?x2 = dbr:Sungkyunkwan_University) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
134. Sungkyunkwan University is located at which place?,(and fb:phrase.Sungkyunkwan_University (fb:phrase.prop.locatedInArea (fb:rdf.type.prop fb:nounphrase.Place))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 rdf:type dbr:Alliance . dbr:Sungkyunkwan_University dbo:locatedInArea ?x1 . FILTER (?x2 = dbr:Sungkyunkwan_University) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
135. Give me a list of all museums in London .,(fb:phrase.prop.museum fb:phrase.London),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:museum dbr:London }
135. Give me a list of all museums in London .,(fb:phrase.prop.museum fb:phrase.london),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:museum dbr:.london }
135. Give me a list of all museums in London .,(fb:phrase.prop.museum fb:phrase.London_Gold),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:museum dbr:London_Gold }
136. Did Sigmund Freud's marriage happen ?,((reverse fb:phrase.prop.party) fb:phrase.Sigmund_Freud),SELECT DISTINCT ?x1 WHERE { dbr:Sigmund_Freud dbo:party ?x1 }
136. Did Sigmund Freud's marriage happen ?,((reverse fb:phrase.prop.result) fb:phrase.Sigmund_Freud),SELECT DISTINCT ?x1 WHERE { dbr:Sigmund_Freud dbo:result ?x1 }
136. Did Sigmund Freud's marriage happen ?,((reverse fb:phrase.prop.event) fb:phrase.Sigmund_Freud),SELECT DISTINCT ?x1 WHERE { dbr:Sigmund_Freud dbo:event ?x1 }
137. Whom Predident Chirac married to?,((reverse fb:phrase.prop.spouse) fb:phrase.Jacques_Chirac),SELECT DISTINCT ?x1 WHERE { dbr:Jacques_Chirac dbo:spouse ?x1 }
137. Whom Predident Chirac married to?,((reverse fb:phrase.prop.child) fb:phrase.Jacques_Chirac),SELECT DISTINCT ?x1 WHERE { dbr:Jacques_Chirac dbo:child ?x1 }
137. Whom Predident Chirac married to?,((reverse fb:phrase.prop.spouse) fb:phrase.Claude_Chirac),SELECT DISTINCT ?x1 WHERE { dbr:Claude_Chirac dbo:spouse ?x1 }
138. What number of moons does Mars have ?,((reverse fb:phrase.prop.number) (fb:phrase.prop.province fb:phrase.Mars)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:province dbr:Mars . ?x1 dbo:number ?x2 }
138. What number of moons does Mars have ?,((reverse fb:phrase.prop.number) (fb:phrase.prop.province fb:phrase.Semper_Mars)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:province dbr:Semper_Mars . ?x1 dbo:number ?x2 }
138. What number of moons does Mars have ?,((reverse fb:phrase.prop.number) (fb:phrase.prop.province fb:phrase.MAR)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:province dbr:MAR . ?x1 dbo:number ?x2 }
139. What type of government does Russia consist ?,((reverse fb:phrase.prop.type) (fb:phrase.prop.government ((reverse fb:phrase.prop.house) fb:phrase.Russia))),SELECT DISTINCT ?x3 WHERE { dbr:Russia dbo:house ?x1 . ?x2 dbo:government ?x1 . ?x2 dbo:type ?x3 }
139. What type of government does Russia consist ?,((reverse fb:phrase.prop.type) (fb:phrase.prop.government ((reverse fb:phrase.prop.board) fb:phrase.Russia))),SELECT DISTINCT ?x3 WHERE { dbr:Russia dbo:board ?x1 . ?x2 dbo:government ?x1 . ?x2 dbo:type ?x3 }
139. What type of government does Russia consist ?,((reverse fb:phrase.prop.type) (fb:phrase.prop.government ((reverse fb:phrase.prop.affiliation) fb:phrase.Russia))),SELECT DISTINCT ?x3 WHERE { dbr:Russia dbo:affiliation ?x1 . ?x2 dbo:government ?x1 . ?x2 dbo:type ?x3 }
140. Where is Fort Knox situated ?,((reverse fb:phrase.prop.locatedInArea) fb:phrase.Fort_Knox),SELECT DISTINCT ?x1 WHERE { dbr:Fort_Knox dbo:locatedInArea ?x1 }
140. Where is Fort Knox situated ?,((reverse fb:phrase.prop.location) fb:phrase.Fort_Knox),SELECT DISTINCT ?x1 WHERE { dbr:Fort_Knox dbo:location ?x1 }
140. Where is Fort Knox situated ?,((reverse fb:phrase.prop.residence) fb:phrase.Fort_Knox),SELECT DISTINCT ?x1 WHERE { dbr:Fort_Knox dbo:residence ?x1 }
141. Give me the names of actors born after 1950 in Paris .,((reverse fb:phrase.prop.otherName) (fb:phrase.prop.artist (fb:phrase.prop.birthPlace (and fb:phrase.1950s fb:phrase.This_Was_Paris)))),SELECT DISTINCT ?x3 WHERE { FILTER (dbr:1950s = dbr:This_Was_Paris) . ?x1 dbo:birthPlace dbr:1950s . ?x2 dbo:artist ?x1 . ?x2 dbo:otherName ?x3 }
141. Give me the names of actors born after 1950 in Paris .,((reverse fb:phrase.prop.otherName) (fb:phrase.prop.artist (fb:phrase.prop.birthPlace (and fb:phrase.1950s fb:phrase.Parys)))),SELECT DISTINCT ?x3 WHERE { FILTER (dbr:1950s = dbr:Parys) . ?x1 dbo:birthPlace dbr:1950s . ?x2 dbo:artist ?x1 . ?x2 dbo:otherName ?x3 }
141. Give me the names of actors born after 1950 in Paris .,((reverse fb:phrase.prop.otherName) (fb:phrase.prop.artist (fb:phrase.prop.birthPlace (and fb:phrase.1950s fb:phrase.Paris)))),SELECT DISTINCT ?x3 WHERE { FILTER (dbr:1950s = dbr:Paris) . ?x1 dbo:birthPlace dbr:1950s . ?x2 dbo:artist ?x1 . ?x2 dbo:otherName ?x3 }
142. Which expert surfers were born in Australia ?,(and fb:phrase.Experticity (fb:phrase.prop.birthPlace fb:phrase.Australia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Experticity dbo:birthPlace dbr:Australia . FILTER (?x1 = dbr:Experticity) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
142. Which expert surfers were born in Australia ?,(and fb:phrase.Experticity (fb:phrase.prop.birthPlace fb:phrase.For_Australia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Experticity dbo:birthPlace dbr:For_Australia . FILTER (?x1 = dbr:Experticity) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
142. Which expert surfers were born in Australia ?,(and fb:phrase.Experticity (fb:phrase.prop.birthPlace fb:phrase.Airservices_Australia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Experticity dbo:birthPlace dbr:Airservices_Australia . FILTER (?x1 = dbr:Experticity) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
143. Where did Syngman Rhee die?,((reverse fb:phrase.prop.deathCause) fb:phrase.Syngman_Rhee),SELECT DISTINCT ?x1 WHERE { dbr:Syngman_Rhee dbo:deathCause ?x1 }
143. Where did Syngman Rhee die?,((reverse fb:phrase.prop.flag) fb:phrase.Syngman_Rhee),SELECT DISTINCT ?x1 WHERE { dbr:Syngman_Rhee dbo:flag ?x1 }
143. Where did Syngman Rhee die?,((reverse fb:phrase.prop.voice) fb:phrase.Syngman_Rhee),SELECT DISTINCT ?x1 WHERE { dbr:Syngman_Rhee dbo:voice ?x1 }
144. Where was Frank Sinatra born?,((reverse fb:phrase.prop.birthPlace) fb:phrase.Frank_Sinatra),SELECT DISTINCT ?x1 WHERE { dbr:Frank_Sinatra dbo:birthPlace ?x1 }
144. Where was Frank Sinatra born?,((reverse fb:phrase.prop.country) fb:phrase.Frank_Sinatra),SELECT DISTINCT ?x1 WHERE { dbr:Frank_Sinatra dbo:country ?x1 }
144. Where was Frank Sinatra born?,((reverse fb:phrase.prop.birthPlace) fb:phrase.Frank_Sinatra_filmography),SELECT DISTINCT ?x1 WHERE { dbr:Frank_Sinatra_filmography dbo:birthPlace ?x1 }
145. What is the name of smallest size city in Germany ?,(fb:phrase.prop.format fb:phrase.Germany),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:format dbr:Germany }
145. What is the name of smallest size city in Germany ?,(fb:phrase.prop.format fb:phrase.Seeland_Germany),"SELECT DISTINCT ?x1 WHERE { ?x1 dbo:format dbr:Seeland,_Germany }"
145. What is the name of smallest size city in Germany ?,(fb:phrase.prop.format fb:phrase.Germany_Kent),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:format dbr:Germany_Kent }
146. What is the area of  UK ?,((reverse fb:phrase.prop.part) fb:phrase.uk),SELECT DISTINCT ?x1 WHERE { dbr:.uk dbo:part ?x1 }
146. What is the area of  UK ?,((reverse fb:phrase.prop.part) fb:phrase.UK),SELECT DISTINCT ?x1 WHERE { dbr:@UK dbo:part ?x1 }
146. What is the area of  UK ?,((reverse fb:phrase.prop.part) fb:phrase.Parkinsons_UK),SELECT DISTINCT ?x1 WHERE { dbr:Parkinson's_UK dbo:part ?x1 }
147. What is the count of companies founded by the Facebook founder ?,((reverse fb:phrase.prop.time) (fb:phrase.prop.party ((reverse fb:phrase.prop.founder) (fb:rdf.type.prop fb:nounphrase.Sound)))),SELECT DISTINCT ?x4 WHERE { ?x1 rdf:type dbr:Stand! . ?x1 dbo:founder ?x2 . ?x3 dbo:party ?x2 . ?x3 dbo:time ?x4 }
147. What is the count of companies founded by the Facebook founder ?,((reverse fb:phrase.prop.time) (fb:phrase.prop.party (fb:phrase.prop.foundedBy ((reverse fb:phrase.prop.founder) fb:phrase.Facebook)))),SELECT DISTINCT ?x4 WHERE { dbr:Facebook dbo:founder ?x1 . ?x2 dbo:foundedBy ?x1 . ?x3 dbo:party ?x2 . ?x3 dbo:time ?x4 }
147. What is the count of companies founded by the Facebook founder ?,((reverse fb:phrase.prop.time) (fb:phrase.prop.party (fb:phrase.prop.foundedBy ((reverse fb:phrase.prop.founder) fb:phrase.Facebook)))),SELECT DISTINCT ?x4 WHERE { dbr:Facebook dbo:founder ?x1 . ?x2 dbo:foundedBy ?x1 . ?x3 dbo:party ?x2 . ?x3 dbo:time ?x4 }
148. Who composed music for famous Cameron 's Titanic ?,(fb:phrase.prop.composer (fb:phrase.prop.director fb:phrase.Naked_and_Famous)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:director dbr:Naked_and_Famous . ?x2 dbo:composer ?x1 }
148. Who composed music for famous Cameron 's Titanic ?,(fb:phrase.prop.composer (fb:phrase.prop.musicComposer fb:phrase.Naked_and_Famous)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:musicComposer dbr:Naked_and_Famous . ?x2 dbo:composer ?x1 }
148. Who composed music for famous Cameron 's Titanic ?,(fb:phrase.prop.composer (and (fb:rdf.type.prop fb:nounphrase.MusicGenre) fb:phrase.Naked_and_Famous)),SELECT DISTINCT ?x3 WHERE { ?x1 rdf:type dbr:pe.prop fb:nounphrase.MusicGenre) . FILTER (?x1 = dbr:Naked_and_Famous) . ?x1 fb:type.object.type ?x2 . ?x3 dbo:composer ?x1 }
149. Give the date when princess Diana died ?,(fb:phrase.prop.date ((reverse fb:phrase.prop.deathPlace) fb:phrase.Wonder_Woman)),SELECT DISTINCT ?x2 WHERE { dbr:Wonder_Woman dbo:deathPlace ?x1 . ?x2 dbo:date ?x1 }
149. Give the date when princess Diana died ?,(fb:phrase.prop.date ((reverse fb:phrase.prop.child) fb:phrase.Wonder_Woman)),SELECT DISTINCT ?x2 WHERE { dbr:Wonder_Woman dbo:child ?x1 . ?x2 dbo:date ?x1 }
149. Give the date when princess Diana died ?,(fb:phrase.prop.date ((reverse fb:phrase.prop.deathCause) fb:phrase.Wonder_Woman)),SELECT DISTINCT ?x2 WHERE { dbr:Wonder_Woman dbo:deathCause ?x1 . ?x2 dbo:date ?x1 }
150. How many spouses did Jane Fonda has ?,(count (fb:phrase.prop.spouse fb:phrase.Jane_Fonda)),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { ?x2 dbo:spouse dbr:Jane_Fonda }
150. How many spouses did Jane Fonda has ?,(count (fb:phrase.prop.spouse fb:phrase.Peter_Fonda)),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { ?x2 dbo:spouse dbr:Peter_Fonda }
150. How many spouses did Jane Fonda has ?,(count (fb:phrase.prop.spouse fb:phrase.Fonda_Rae)),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { ?x2 dbo:spouse dbr:Fonda_Rae }
151. Name all the Walt Disney's created television shows ,(and fb:phrase.Walt_Disney (fb:phrase.prop.relative (fb:rdf.type.prop fb:nounphrase.TelevisionShow))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 rdf:type dbr:pe.prop fb:nounphrase.TelevisionShow) . dbr:Walt_Disney dbo:relative ?x1 . FILTER (?x2 = dbr:Walt_Disney) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
151. Name all the Walt Disney's created television shows ,(and fb:phrase.Walt_Disney (fb:phrase.prop.relative (fb:rdf.type.prop fb:nounphrase.TelevisionEpisode))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 rdf:type dbr:pe.prop fb:nounphrase.TelevisionEpisode) . dbr:Walt_Disney dbo:relative ?x1 . FILTER (?x2 = dbr:Walt_Disney) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
151. Name all the Walt Disney's created television shows ,(and fb:phrase.Walt_Disney (fb:phrase.prop.product (fb:rdf.type.prop fb:nounphrase.TelevisionShow))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 rdf:type dbr:pe.prop fb:nounphrase.TelevisionShow) . dbr:Walt_Disney dbo:product ?x1 . FILTER (?x2 = dbr:Walt_Disney) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
152. What is the name of the beer that originated from Ireland ?,(and (fb:rdf.type.prop fb:nounphrase.Beverage) (fb:phrase.prop.origin fb:phrase.Ireland)),SELECT DISTINCT ?x1 WHERE { ?x1 rdf:type dbr:Weser . ?x1 dbo:origin dbr:Ireland }
152. What is the name of the beer that originated from Ireland ?,(and (fb:rdf.type.prop fb:nounphrase.Beverage) (fb:phrase.prop.origin fb:phrase.Turks_in_Ireland)),SELECT DISTINCT ?x1 WHERE { ?x1 rdf:type dbr:Weser . ?x1 dbo:origin dbr:Turks_in_Ireland }
152. What is the name of the beer that originated from Ireland ?,(and (fb:rdf.type.prop fb:nounphrase.Beverage) (fb:phrase.prop.origin fb:phrase.TV3_Ireland)),SELECT DISTINCT ?x1 WHERE { ?x1 rdf:type dbr:Weser . ?x1 dbo:origin dbr:TV3_(Ireland) }
153. List all the books in Asimov 's Foundation series .,(fb:phrase.prop.volume fb:phrase.Robot_series_Asimov),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:volume dbr:Robot_series_(Asimov) }
153. List all the books in Asimov 's Foundation series .,(and (fb:rdf.type.prop fb:nounphrase.Book) fb:phrase.Robot_series_Asimov),SELECT DISTINCT ?x1 ?x1name WHERE { ?x1 rdf:type dbr:Facebook . FILTER (?x1 = dbr:Robot_series_(Asimov)) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
153. List all the books in Asimov 's Foundation series .,(and (fb:rdf.type.prop fb:nounphrase.Magazine) fb:phrase.Robot_series_Asimov),SELECT DISTINCT ?x1 ?x1name WHERE { ?x1 rdf:type dbr:Spain . FILTER (?x1 = dbr:Robot_series_(Asimov)) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
154. What is the released date of movie Worst Case Scenario in cinema in the Netherlands ?,((reverse fb:phrase.prop.releaseDate) (and fb:phrase.Worst_Case_Scenario_film (fb:phrase.prop.picture fb:phrase.Netherlands))),SELECT DISTINCT ?x1 WHERE { dbr:Worst_Case_Scenario_(film) dbo:picture dbr:Netherlands . dbr:Worst_Case_Scenario_(film) dbo:releaseDate ?x1 }
154. What is the released date of movie Worst Case Scenario in cinema in the Netherlands ?,((reverse fb:phrase.prop.releaseDate) (and fb:phrase.Worst_Case_Scenario_film (fb:phrase.prop.picture fb:phrase.Walem_Netherlands))),"SELECT DISTINCT ?x1 WHERE { dbr:Worst_Case_Scenario_(film) dbo:picture dbr:Walem,_Netherlands . dbr:Worst_Case_Scenario_(film) dbo:releaseDate ?x1 }"
154. What is the released date of movie Worst Case Scenario in cinema in the Netherlands ?,((reverse fb:phrase.prop.releaseDate) (and fb:phrase.Worst_Case_Scenario_film (fb:phrase.prop.picture fb:phrase.Strype_Netherlands))),"SELECT DISTINCT ?x1 WHERE { dbr:Worst_Case_Scenario_(film) dbo:picture dbr:Strype,_Netherlands . dbr:Worst_Case_Scenario_(film) dbo:releaseDate ?x1 }"
155. Is James Bond not married?,(and fb:phrase.James_Bond (not (fb:rdf.type.prop fb:nounphrase.Single))),SELECT DISTINCT ?x1 ?x1name WHERE { FILTER NOT EXISTS { dbr:James_Bond rdf:type dbr:Spain } . FILTER (?x1 = dbr:James_Bond) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
155. Is James Bond not married?,(and fb:phrase.James_Bond_filmography (not (fb:rdf.type.prop fb:nounphrase.Single))),SELECT DISTINCT ?x1 ?x1name WHERE { FILTER NOT EXISTS { dbr:James_Bond_filmography rdf:type dbr:Spain } . FILTER (?x1 = dbr:James_Bond_filmography) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
155. Is James Bond not married?,(and fb:phrase.Jatt_James_Bond (not (fb:rdf.type.prop fb:nounphrase.Single))),SELECT DISTINCT ?x1 ?x1name WHERE { FILTER NOT EXISTS { dbr:Jatt_James_Bond rdf:type dbr:Spain } . FILTER (?x1 = dbr:Jatt_James_Bond) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
156. Name the famous scientist behind Manhattan Project and also Nobel Peace Prize,(and (fb:phrase.prop.established fb:phrase.Manhattan_Project) fb:phrase.Nobel_Peace_Prize),SELECT DISTINCT ?x1 ?x1name WHERE { ?x1 dbo:established dbr:Manhattan_Project . FILTER (?x1 = dbr:Nobel_Peace_Prize) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
156. Name the famous scientist behind Manhattan Project and also Nobel Peace Prize,(and (fb:phrase.prop.established fb:phrase.Manhattan_Project) fb:phrase.2007_Nobel_Peace_Prize),SELECT DISTINCT ?x1 ?x1name WHERE { ?x1 dbo:established dbr:Manhattan_Project . FILTER (?x1 = dbr:2007_Nobel_Peace_Prize) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
156. Name the famous scientist behind Manhattan Project and also Nobel Peace Prize,(and (fb:phrase.prop.established fb:phrase.Manhattan_Project) fb:phrase.Ig_Nobel_Prize),SELECT DISTINCT ?x1 ?x1name WHERE { ?x1 dbo:established dbr:Manhattan_Project . FILTER (?x1 = dbr:Ig_Nobel_Prize) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
157. Number of airlines those are part of the Star Alliance !,((reverse fb:phrase.prop.number) (fb:phrase.prop.suborbitalFlights ((reverse fb:phrase.prop.role) fb:phrase.Star_Alliance))),SELECT DISTINCT ?x3 WHERE { dbr:Star_Alliance dbo:role ?x1 . ?x2 dbo:suborbitalFlights ?x1 . ?x2 dbo:number ?x3 }
157. Number of airlines those are part of the Star Alliance !,((reverse fb:phrase.prop.number) (fb:phrase.prop.suborbitalFlights ((reverse fb:phrase.prop.role) fb:phrase.Star))),SELECT DISTINCT ?x3 WHERE { dbr:Star dbo:role ?x1 . ?x2 dbo:suborbitalFlights ?x1 . ?x2 dbo:number ?x3 }
157. Number of airlines those are part of the Star Alliance !,((reverse fb:phrase.prop.number) (fb:phrase.prop.suborbitalFlights ((reverse fb:phrase.prop.role) fb:phrase.Alliance))),SELECT DISTINCT ?x3 WHERE { dbr:Alliance dbo:role ?x1 . ?x2 dbo:suborbitalFlights ?x1 . ?x2 dbo:number ?x3 }
158. When did Latvia become part of the EU ?,(and fb:phrase.Latvia ((reverse fb:phrase.prop.role) fb:phrase.Eus)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Eus dbo:role dbr:Latvia . FILTER (?x1 = dbr:Latvia) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
158. When did Latvia become part of the EU ?,(and fb:phrase.Latvia ((reverse fb:phrase.prop.role) fb:phrase.Eu)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Eus dbo:role dbr:Latvia . FILTER (?x1 = dbr:Latvia) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
158. When did Latvia become part of the EU ?,(and fb:phrase.Latvia ((reverse fb:phrase.prop.role) fb:phrase.EUS)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:EUS dbo:role dbr:Latvia . FILTER (?x1 = dbr:Latvia) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
159. What is next to tallest mountain on Earth ?,(fb:phrase.prop.elevation fb:phrase.Not_of_This_Earth),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:elevation dbr:Not_of_This_Earth }
159. What is next to tallest mountain on Earth ?,(fb:phrase.prop.elevation fb:phrase.earth),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:elevation dbr:@earth }
159. What is next to tallest mountain on Earth ?,(fb:phrase.prop.elevation fb:phrase.Earth),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:elevation dbr:Earth }
160. In which city Nikos Kazantzakis breathe his last breath?,(fb:phrase.prop.city (and fb:phrase.Heraklion_International_Airport ((reverse fb:phrase.prop.mouthPlace) (fb:rdf.type.prop fb:nounphrase.Play)))),SELECT DISTINCT ?x2 WHERE { ?x1 rdf:type dbr:Parys . ?x1 dbo:mouthPlace dbr:Heraklion_International_Airport . ?x2 dbo:city dbr:Heraklion_International_Airport }
160. In which city Nikos Kazantzakis breathe his last breath?,(fb:phrase.prop.city (and fb:phrase.Heraklion_International_Airport ((reverse fb:phrase.prop.associate) (fb:rdf.type.prop fb:nounphrase.Play)))),SELECT DISTINCT ?x2 WHERE { ?x1 rdf:type dbr:Parys . ?x1 dbo:associate dbr:Heraklion_International_Airport . ?x2 dbo:city dbr:Heraklion_International_Airport }
160. In which city Nikos Kazantzakis breathe his last breath?,(fb:phrase.prop.city (and fb:phrase.Heraklion_International_Airport ((reverse fb:phrase.prop.mouthCountry) (fb:rdf.type.prop fb:nounphrase.Play)))),SELECT DISTINCT ?x2 WHERE { ?x1 rdf:type dbr:Parys . ?x1 dbo:mouthCountry dbr:Heraklion_International_Airport . ?x2 dbo:city dbr:Heraklion_International_Airport }
161. Is Michelle spouse of President Obama ?,(and fb:phrase.Michel_Besnier ((reverse fb:phrase.prop.spouse) fb:phrase.Presidency_of_Barack_Obama)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Presidency_of_Barack_Obama dbo:spouse dbr:Michel_Besnier . FILTER (?x1 = dbr:Michel_Besnier) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
161. Is Michelle spouse of President Obama ?,(and fb:phrase.Michel_Besnier ((reverse fb:phrase.prop.spouse) fb:phrase.The_Obama_Nation)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:The_Obama_Nation dbo:spouse dbr:Michel_Besnier . FILTER (?x1 = dbr:Michel_Besnier) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
161. Is Michelle spouse of President Obama ?,(and fb:phrase.Michel_Besnier ((reverse fb:phrase.prop.spouse) fb:phrase.The_Promise_President_Obama_Year_One)),"SELECT DISTINCT ?x1 ?x1name WHERE { dbr:The_Promise:_President_Obama,_Year_One dbo:spouse dbr:Michel_Besnier . FILTER (?x1 = dbr:Michel_Besnier) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }"
162. Socrates influenced whom?,((reverse fb:phrase.prop.influenced) fb:phrase.Socrates),SELECT DISTINCT ?x1 WHERE { dbr:Socrates dbo:influenced ?x1 }
162. Socrates influenced whom?,((reverse fb:phrase.prop.influencedBy) fb:phrase.Socrates),SELECT DISTINCT ?x1 WHERE { dbr:Socrates dbo:influencedBy ?x1 }
162. Socrates influenced whom?,((reverse fb:phrase.prop.position) fb:phrase.Socrates),SELECT DISTINCT ?x1 WHERE { dbr:Socrates dbo:position ?x1 }
163. Name the person who created the comic Captain America ?,(fb:phrase.prop.person (fb:phrase.prop.relative fb:phrase.Americas_Best_Comics)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:relative dbr:America's_Best_Comics . ?x2 dbo:person ?x1 }
163. Name the person who created the comic Captain America ?,(fb:phrase.prop.person (fb:phrase.prop.relative fb:phrase.Captain_America)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:relative dbr:Captain_America . ?x2 dbo:person ?x1 }
163. Name the person who created the comic Captain America ?,(fb:phrase.prop.person (fb:phrase.prop.relative fb:phrase.Captain_Mike_Across_America)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:relative dbr:Captain_Mike_Across_America . ?x2 dbo:person ?x1 }
164. When was the death of Michael Jackson? ,((reverse fb:phrase.prop.deathPlace) fb:phrase.The_Essential_Michael_Jackson),SELECT DISTINCT ?x1 WHERE { dbr:The_Essential_Michael_Jackson dbo:deathPlace ?x1 }
164. When was the death of Michael Jackson? ,((reverse fb:phrase.prop.deathPlace) fb:phrase.Michael_Jackson),SELECT DISTINCT ?x1 WHERE { dbr:Michael_Jackson dbo:deathPlace ?x1 }
164. When was the death of Michael Jackson? ,((reverse fb:phrase.prop.deathPlace) fb:phrase.Michael_Jacksons_Ghosts),SELECT DISTINCT ?x1 WHERE { dbr:Michael_Jackson's_Ghosts dbo:deathPlace ?x1 }
165. Name the films directed by Clint Eastwood where he was also actor ?,(fb:phrase.prop.film (fb:phrase.prop.director ((reverse fb:phrase.prop.artist) fb:phrase.Clint_Eastwood))),SELECT DISTINCT ?x3 WHERE { dbr:Clint_Eastwood dbo:artist ?x1 . ?x2 dbo:director ?x1 . ?x3 dbo:film ?x2 }
165. Name the films directed by Clint Eastwood where he was also actor ?,(fb:phrase.prop.film (fb:phrase.prop.director ((reverse fb:phrase.prop.artist) fb:phrase.Personal_life_of_Clint_Eastwood))),SELECT DISTINCT ?x3 WHERE { dbr:Personal_life_of_Clint_Eastwood dbo:artist ?x1 . ?x2 dbo:director ?x1 . ?x3 dbo:film ?x2 }
165. Name the films directed by Clint Eastwood where he was also actor ?,(fb:phrase.prop.film (fb:phrase.prop.director ((reverse fb:phrase.prop.artist) fb:phrase.Bibliography_of_Clint_Eastwood))),SELECT DISTINCT ?x3 WHERE { dbr:Bibliography_of_Clint_Eastwood dbo:artist ?x1 . ?x2 dbo:director ?x1 . ?x3 dbo:film ?x2 }
166. List out all actors who have their birth place as Berlin .,(fb:phrase.prop.artist (fb:phrase.prop.birthPlace fb:phrase.Berlin)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:birthPlace dbr:Berlin . ?x2 dbo:artist ?x1 }
166. List out all actors who have their birth place as Berlin .,(fb:phrase.prop.artist (fb:phrase.prop.birthPlace fb:phrase.In_Berlin)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:birthPlace dbr:In_Berlin . ?x2 dbo:artist ?x1 }
